Code,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth,Date,region,SST
620,9.8315,12.3863,2.8556,2.4009,15.6992,21.1351,9.7873,0.6558,1.0016,1.4982,3.2812,1.2885,0.7457,2017-09-21,NJ,23.1
621,8.2822,10.2099,2.2403,1.6854,9.9833,12.9984,5.9341,0.6533,0.6923,1.0424,1.706,0.9474,0.6536,2017-09-21,NJ,23.1
622,8.0272,9.333,2.0952,1.5622,7.9513,11.3269,5.3101,0.5545,0.6405,0.9674,1.1497,0.8838,0.6136,2017-09-21,NJ,23.1
623,7.904,10.022,2.1936,1.9099,9.5215,13.105,6.4185,0.5535,0.6736,1.0615,1.9944,1.2054,0.5817,2017-09-21,NJ,23.1
624,9.0941,11.0655,2.7886,2.1556,11.2464,17.4833,7.0873,0.6668,0.6775,1.1515,2.2355,1.2778,0.8496,2017-09-21,NJ,23.1
625,7.0008,9.0988,1.9879,1.6846,7.2044,9.8001,4.7377,0.525,0.6103,1.0182,1.3005,0.8275,0.4963,2017-09-21,NJ,23.1
626,7.6306,9.3904,1.9395,1.7175,8.1624,10.4698,4.8948,0.4787,0.6341,0.9624,1.5042,0.8754,0.8066,2017-09-21,NJ,23.1
627,6.3987,7.5123,1.7608,1.2904,5.8415,7.5517,3.4176,0.5262,0.5659,0.9908,1.391,0.957,0.672,2017-09-21,NJ,23.1
628,6.6452,7.8357,1.8741,1.2955,5.5256,8.4813,3.9185,0.5246,0.6161,0.9036,0.9755,0.8487,0.4337,2017-09-21,NJ,23.1
629,9.0083,12.0915,3.0199,2.3063,12.8363,20.4721,8.196,0.6605,0.7675,1.2523,3.0185,1.5631,0.5647,2017-09-21,NJ,23.1
630,9.1209,11.3956,2.6238,2.0484,12.3982,17.2692,7.6488,0.6378,0.8874,1.2078,2.0979,1.1652,0.6481,2017-09-21,NJ,23.1
631,7.1975,7.7823,1.911,1.1337,6.2689,8.5615,4.2163,0.4714,0.5352,0.7493,1.0818,0.8544,0.601,2017-09-21,NJ,23.1
632,6.9356,8.2774,1.8601,1.6109,6.592,9.4034,4.2421,0.4936,0.6474,0.8573,1.1309,0.8552,0.4582,2017-09-21,NJ,23.1
633,17.9735,22.1099,4.9324,3.872,44.8093,56.9956,25.035,1.2793,1.3624,2.5106,10.1856,1.919,1.1364,2017-10-09,NJ,22
