n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter
195,8.4504,10.5527,2.2706,1.6216,10.3226,6.8134,14.1294,0.6808,1.0659,1.4475,,,0.6352
196,,,,,,,,,,,0.449,0.8616,
197,7.7135,9.2276,1.992,1.3493,7.969,4.9786,10.2828,0.6722,1.0167,1.8252,,,0.5571
198,,,,,,,,,,,0.4916,0.9784,
199,19.1205,24.0673,5.4025,3.8831,61.0174,38.0057,70.2779,1.633,2.3253,11.0447,,,1.5589
200,,,,,,,,,,,0.9529,1.5266,
201,14.5897,19.2772,4.0572,2.9409,33.0355,19.8103,40.4477,1.1695,1.8302,6.3553,,,1.1468
202,,,,,,,,,,,0.8656,1.4637,
203,11.3942,14.6383,3.2387,2.1954,21.8346,13.0584,26.9856,1.1209,1.6349,4.9065,,,0.9182
204,,,,,,,,,,,0.6713,1.3903,
205,12.1177,15.5398,3.169,2.4474,24.1578,13.3102,27.3203,0.9381,1.6989,5.4721,,,1.0263
206,,,,,,,,,,,0.6705,1.3463,
207,9.5371,11.9162,2.5592,1.8843,13.3707,8.1475,17.4098,0.7764,1.1651,2.0574,,,0.6746
208,,,,,,,,,,,0.5818,0.7736,
209,9.4782,10.7906,2.2729,1.6962,11.3627,7.6665,16.0916,0.8145,1.1139,1.1516,,,0.6089
210,,,,,,,,,,,0.4059,0.6619,
211,14.5961,19.152,3.8962,2.9366,33.1815,19.6447,39.6736,1.3595,2.0246,7.5573,,,1.1209
212,,,,,,,,,,,0.6419,1.2088,
213,10.3486,12.9117,2.6325,2.0603,16.2141,9.5926,19.8898,0.7426,1.3927,3.6344,,,0.7013
214,,,,,,,,,,,0.4654,0.8648,
215,8.8493,10.6895,2.5201,1.8843,11.4521,8.161,16.0317,0.7577,0.9814,1.2285,,,0.593
216,,,,,,,,,,,0.445,0.9132,
217,9.038,10.7159,2.6217,1.82,12.2549,8.0303,16.6111,0.8031,1.1888,2.1478,,,0.6267
